name,age,gender,year,course,sleeping_time,wake_time,study_hours_per_day,diet,cleanliness,noise_tolerance,guest_freq,introvert_extrovert,study_time,friends_in_room
Geeta Sengar,19,Female,2nd year,English Literature,11:00 PM,7:30 AM,4,vegan,3,4,sometimes,3,afternoon,No
Astitva Chirag,20,Female,3rd year,Chemistry,1:30 AM,8:30 AM,3,eggetarian,3,3,sometimes,3,night,No
Jahnavi Kasniya,18,Male,1st year,Mechanical Engineering,11:30 PM,6:00 AM,4,nonveg,4,3,sometimes,3,afternoon,Yes
Anoop Yamala,19,Male,2nd year,Mechanical Engineering,2:30 AM,10:00 AM,4,nonveg,3,4,often,5,night,Yes
Ajay Rasheed,19,Female,1st year,Biology,2:00 AM,9:30 AM,3,eggetarian,1,2,often,4,night,Yes
Amrin Sahu,19,Male,2nd year,Computer Science,11:00 PM,6:00 AM,3,veg,2,2,never,2,morning,No
Sneha Barnawal,21,Male,4th year,Computer Science,11:00 PM,7:00 AM,3,nonveg,3,4,sometimes,3,afternoon,No
Dinesh Sura,20,Female,2nd year,English Literature,2:00 AM,8:30 AM,6,nonveg,4,1,never,2,night,No
Vasundhara Raman,20,Male,3rd year,Psychology,12:00 AM,8:30 AM,2,nonveg,3,5,often,5,afternoon,Yes
Srishti Bharadwaj,21,Male,4th year,Chemistry,11:00 PM,7:00 AM,3,no_pref,4,3,sometimes,3,afternoon,No
Mayur Atri,20,Female,4th year,Mathematics,10:30 PM,6:00 AM,6,veg,4,3,sometimes,2,morning,No
Vratanshi Pattnaik,21,Male,4th year,Mechanical Engineering,12:30 AM,8:00 AM,3,nonveg,3,4,often,5,night,Yes
Hasni Rathour,21,Non-binary,4th year,Business Administration,11:00 PM,7:30 AM,2,nonveg,2,4,never,4,morning,No
Ananya Bhatnagar,19,Male,2nd year,Business Administration,3:00 AM,10:00 AM,4,veg,3,2,never,3,night,No
Bibhu Rizwan,18,Male,1st year,Computer Science,10:30 PM,6:30 AM,2,veg,4,2,sometimes,2,morning,No
Himani Sarnobat,20,Female,3rd year,Biology,12:30 AM,9:00 AM,3,veg,3,3,sometimes,3,afternoon,No
Khushboo Mohandas,21,Female,3rd year,Psychology,1:00 AM,9:00 AM,7,nonveg,2,2,never,2,night,No
Shiv Rajput,18,Female,1st year,Mathematics,11:30 PM,7:00 AM,3,nonveg,2,1,sometimes,3,afternoon,Yes
Shaurya Choudhary,18,Female,1st year,Chemistry,11:30 PM,7:30 AM,5,veg,3,1,never,2,afternoon,No
Hasni Sarawagi,21,Female,4th year,Biology,11:00 PM,6:00 AM,1,veg,1,4,never,3,morning,No
Mudita Rastogi,21,Male,3rd year,Electrical Engineering,3:00 AM,11:00 AM,1,veg,2,3,sometimes,4,night,No
Jasmine Vilas,19,Male,2nd year,Electrical Engineering,11:30 PM,7:30 AM,4,veg,2,2,never,1,afternoon,No
Anikrishna Anam,18,Male,1st year,Electrical Engineering,11:00 PM,6:30 AM,3,nonveg,3,3,sometimes,3,morning,No
Sangeeta Parashar,19,Male,2nd year,English Literature,11:00 PM,6:30 AM,4,nonveg,4,3,often,4,afternoon,Yes
Bhawna Shankdhar,19,Female,2nd year,Business Administration,1:00 AM,9:00 AM,5,nonveg,4,3,sometimes,3,night,Yes
Madan Kewlani,19,Female,2nd year,Chemistry,2:30 AM,9:30 AM,3,no_pref,3,2,sometimes,4,night,Yes
Asthana Khatri,20,Male,3rd year,Biology,2:00 AM,9:30 AM,2,nonveg,3,3,sometimes,3,night,Yes
Brajesh Prakash,18,Female,1st year,Chemistry,2:30 AM,10:00 AM,3,no_pref,5,3,never,3,night,No
Chetna Bansal,20,Female,3rd year,Business Administration,2:00 AM,10:30 AM,6,veg,2,2,sometimes,2,night,No
Jauhari Gudepu,19,Female,3rd year,Biology,11:00 PM,6:00 AM,7,nonveg,2,2,sometimes,2,morning,Yes
Rituraj Upadhyay,19,Male,1st year,Mechanical Engineering,2:30 AM,10:00 AM,2,veg,4,4,often,4,night,Yes
Rupeshwary Mukhopadhyay,18,Female,1st year,Chemistry,10:00 PM,6:00 AM,4,veg,3,3,sometimes,2,morning,No
Divya Bisht,20,Female,3rd year,Electrical Engineering,10:00 PM,6:00 AM,4,nonveg,1,2,never,1,morning,No
Karthikeyan Panesar,20,Male,2nd year,Business Administration,10:00 PM,6:00 AM,6,veg,4,2,never,1,afternoon,No
Anurag Kanchapu,21,Male,3rd year,Computer Science,12:30 AM,9:00 AM,3,vegan,4,4,often,5,night,Yes
Vishwas Sengar,21,Male,4th year,Mechanical Engineering,11:30 PM,7:30 AM,2,veg,2,4,sometimes,4,afternoon,No
Shazia Mangla,20,Male,3rd year,English Literature,1:30 AM,9:00 AM,5,nonveg,2,2,sometimes,2,night,No
Sriansh Ashraf,21,Female,4th year,Chemistry,12:30 AM,8:00 AM,3,nonveg,4,3,sometimes,5,night,Yes
Avanish Dhaulakhandi,18,Female,1st year,Biology,2:00 AM,10:30 AM,4,nonveg,4,4,sometimes,4,night,Yes
Arushi Munir,18,Male,1st year,Chemistry,10:00 PM,5:30 AM,3,nonveg,4,2,sometimes,3,morning,No
Vijaypal Hanul,21,Male,3rd year,Psychology,2:00 AM,10:00 AM,8,veg,2,1,never,2,night,No
Saumya Hasija,20,Non-binary,3rd year,English Literature,12:00 AM,7:30 AM,3,nonveg,2,3,never,3,afternoon,No
Sharuk Gangwal,20,Male,3rd year,Electrical Engineering,2:00 AM,10:00 AM,5,no_pref,2,3,sometimes,2,night,No
Aakash Azmi,19,Male,2nd year,Mathematics,11:30 PM,7:30 AM,4,nonveg,4,4,sometimes,5,afternoon,Yes
Sunish Bapat,18,Female,1st year,English Literature,10:00 PM,4:30 AM,3,nonveg,3,2,sometimes,3,morning,Yes
Subodh Bhattacharya,18,Male,1st year,Chemistry,11:00 PM,7:00 AM,6,nonveg,3,1,sometimes,2,morning,No
Aparna Sutariya,19,Male,2nd year,Chemistry,11:00 PM,7:30 AM,6,no_pref,3,1,never,1,morning,No
Jimi Khan,19,Female,2nd year,English Literature,1:30 AM,9:00 AM,3,veg,3,2,sometimes,2,night,Yes
Ajit Jagaragallu,18,Non-binary,2nd year,Psychology,1:00 AM,8:30 AM,6,veg,1,2,sometimes,3,afternoon,Yes
Pawan Hasnain,19,Male,3rd year,Electrical Engineering,10:30 PM,6:00 AM,6,veg,3,2,never,1,morning,No
Nav Sirohi,20,Male,3rd year,Mechanical Engineering,2:00 AM,10:30 AM,5,nonveg,5,3,sometimes,2,night,No
Shikhar Rajendra,20,Female,3rd year,Mathematics,3:00 AM,10:30 AM,6,nonveg,4,3,sometimes,4,night,No
Kshitij Maddeshiya,19,Male,2nd year,Biology,12:00 AM,7:30 AM,7,veg,3,3,never,1,night,No
Sreelakshmi Kumari,21,Female,4th year,Mathematics,2:00 AM,9:00 AM,7,nonveg,3,2,never,2,night,No
Anand Meghwal,19,Male,2nd year,Business Administration,10:00 PM,5:30 AM,4,veg,3,1,sometimes,1,morning,No
Karishma Jha,21,Female,4th year,Chemistry,11:00 PM,7:00 AM,5,veg,4,3,sometimes,1,afternoon,Yes
Anjana Dikshit,20,Female,3rd year,Mathematics,11:00 PM,6:00 AM,5,nonveg,4,5,often,4,afternoon,Yes
Shaqib Pasupuleti,20,Male,3rd year,Mechanical Engineering,10:00 PM,4:30 AM,4,nonveg,3,3,never,3,morning,Yes
Rajamani Praveenchand,19,Female,2nd year,Business Administration,11:00 PM,7:30 AM,2,veg,3,3,often,4,afternoon,Yes
Utkarsh Nalla,21,Female,3rd year,Mathematics,12:00 AM,9:00 AM,4,vegan,3,2,never,1,night,No
Prastuti Palata,19,Female,3rd year,Biology,12:00 AM,8:30 AM,5,eggetarian,3,4,sometimes,4,afternoon,Yes
Ramsundar Rungta,21,Male,4th year,Mechanical Engineering,1:30 AM,8:30 AM,3,veg,2,2,sometimes,2,night,No
Mandeep Chaubey,21,Female,4th year,Chemistry,10:00 PM,5:30 AM,1,veg,5,5,often,4,morning,Yes
Jitendra Malwan,20,Male,3rd year,Mechanical Engineering,12:30 AM,8:00 AM,6,nonveg,2,3,sometimes,3,afternoon,Yes
Yakub Giri,22,Female,4th year,Chemistry,11:30 PM,7:30 AM,4,nonveg,3,3,sometimes,3,afternoon,No
Manshi Nadhe,20,Female,4th year,Computer Science,11:30 PM,6:30 AM,3,veg,3,3,sometimes,4,afternoon,No
Jaykant Akhtar,20,Female,3rd year,Biology,12:00 AM,6:00 AM,5,nonveg,4,2,sometimes,1,afternoon,No
Veena Shaji,19,Male,2nd year,Mechanical Engineering,12:00 AM,8:30 AM,3,veg,4,3,often,4,night,Yes
Vipin Lavudya,21,Male,4th year,Mechanical Engineering,11:30 PM,8:00 AM,2,veg,3,4,sometimes,4,afternoon,Yes
Tanishta Ritikesh,18,Female,1st year,Biology,11:00 PM,7:00 AM,4,nonveg,3,2,sometimes,3,morning,Yes
Abbas Shukla,18,Male,1st year,English Literature,2:00 AM,9:30 AM,3,veg,4,5,often,5,night,No
Seshikanth Das,18,Female,1st year,English Literature,1:00 AM,9:30 AM,2,nonveg,3,2,never,3,afternoon,No
Ambuj Khare,19,Female,2nd year,Chemistry,1:00 AM,10:00 AM,7,nonveg,3,2,never,2,night,No
Shrikant Darshan,20,Male,3rd year,Chemistry,10:30 PM,6:30 AM,5,eggetarian,4,2,never,2,morning,No
Shatakshi Afreen,21,Male,4th year,English Literature,10:00 PM,6:00 AM,7,nonveg,4,3,sometimes,1,morning,Yes
Kshitij Ojha,18,Female,1st year,Chemistry,11:30 PM,5:30 AM,2,veg,5,3,never,3,morning,No
Desh Bhardwaj,20,Male,3rd year,Mathematics,2:00 AM,9:30 AM,5,nonveg,3,2,sometimes,1,night,No
Vaishali Hosur,18,Male,1st year,Business Administration,1:00 AM,9:00 AM,1,nonveg,1,3,often,4,night,Yes
Sai Gutti,23,Female,4th year,English Literature,3:00 AM,9:30 AM,1,nonveg,2,4,sometimes,4,night,No
Shiv Chaudhary,18,Female,1st year,Biology,10:00 PM,4:30 AM,3,nonveg,3,3,sometimes,4,morning,No
Rishu Chopra,19,Non-binary,2nd year,Chemistry,10:30 PM,5:30 AM,6,veg,2,3,never,1,morning,No
Jaya Baddur,21,Male,3rd year,Chemistry,12:00 AM,7:30 AM,6,nonveg,4,1,never,1,morning,No
Shalini Palisetti,20,Female,4th year,Mechanical Engineering,10:30 PM,7:00 AM,6,nonveg,2,3,never,2,morning,No
Monu Dubey,18,Male,1st year,Electrical Engineering,10:00 PM,6:30 AM,6,veg,1,2,sometimes,1,morning,No
Harshita Kalsi,19,Female,2nd year,Computer Science,11:00 PM,6:30 AM,5,vegan,3,5,sometimes,3,morning,No
Mahendra Priyadarshi,20,Female,3rd year,English Literature,12:00 AM,9:30 AM,4,veg,3,4,often,3,afternoon,Yes
Divyanshika Bhattacharya,21,Male,3rd year,Chemistry,11:30 PM,6:30 AM,3,nonveg,3,3,sometimes,4,afternoon,Yes
Shivanshi Dixit,21,Female,4th year,Chemistry,12:00 AM,7:00 AM,3,nonveg,3,3,often,5,night,Yes
Purvi Naaz,20,Female,3rd year,Electrical Engineering,10:00 PM,5:30 AM,7,no_pref,4,3,never,1,morning,No
Ranjeet Jay,20,Male,3rd year,English Literature,10:30 PM,5:30 AM,4,nonveg,1,2,never,1,morning,No
Rupali Ahmed,18,Male,1st year,Mechanical Engineering,12:30 AM,8:30 AM,5,nonveg,4,1,never,2,night,Yes
Shreyasi Hanul,20,Non-binary,3rd year,English Literature,1:30 AM,9:30 AM,5,veg,3,3,sometimes,2,night,No
Anupriya Madaan,18,Male,1st year,Business Administration,12:30 AM,7:30 AM,5,veg,4,4,never,2,night,No
Digraj Putta,18,Male,1st year,Mathematics,2:30 AM,9:30 AM,6,veg,4,2,sometimes,1,night,Yes
Neharika Wagh,20,Female,2nd year,Biology,10:30 PM,5:00 AM,6,nonveg,1,3,never,3,morning,No
Lekhraj Kwatra,20,Male,3rd year,Electrical Engineering,11:00 PM,6:30 AM,1,veg,3,3,sometimes,4,morning,Yes
Rishab Taneja,19,Male,2nd year,Business Administration,1:30 AM,10:30 AM,4,veg,5,5,sometimes,3,afternoon,No
Kashif Thawani,19,Female,1st year,Business Administration,9:30 PM,6:00 AM,5,nonveg,4,4,sometimes,3,morning,Yes
Hanif Inavolu,21,Male,4th year,Computer Science,11:30 PM,8:00 AM,3,veg,5,3,sometimes,3,night,Yes
Manush Shrivas,18,Female,1st year,Psychology,12:00 AM,8:00 AM,1,veg,5,3,sometimes,4,afternoon,Yes
Stalin Manchikanti,17,Female,1st year,Business Administration,10:00 PM,6:30 AM,2,veg,3,4,sometimes,3,morning,Yes
Abhay Kairati,18,Male,1st year,Biology,10:30 PM,6:00 AM,2,nonveg,4,4,sometimes,4,morning,Yes
Neelesh Vishwakarma,18,Male,1st year,Mechanical Engineering,2:30 AM,9:00 AM,1,nonveg,3,5,often,4,night,No
Hemavarun Srivastav,18,Male,1st year,Mechanical Engineering,1:30 AM,9:00 AM,1,nonveg,2,3,sometimes,4,night,Yes
Deepika Guha,21,Male,4th year,Biology,11:30 PM,7:30 AM,7,nonveg,4,3,never,2,afternoon,No
Archita Jawed,18,Female,1st year,Biology,11:00 PM,6:00 AM,4,veg,2,2,never,2,afternoon,No
Shrinivas Sonkar,20,Female,4th year,Psychology,9:30 PM,6:00 AM,9,veg,2,2,sometimes,2,morning,No
Dhruva Ansari,20,Female,3rd year,Electrical Engineering,9:30 PM,4:30 AM,5,nonveg,3,2,sometimes,1,morning,No
Vidit Parul,18,Male,1st year,Computer Science,12:30 AM,8:00 AM,9,veg,4,3,sometimes,1,afternoon,No
Pratibha Chirag,20,Male,2nd year,Electrical Engineering,12:00 AM,7:00 AM,7,nonveg,3,1,never,1,afternoon,No
Arnav Upreti,20,Female,3rd year,Electrical Engineering,2:30 AM,10:30 AM,4,veg,4,4,sometimes,4,night,Yes
Deepali Rai,20,Male,4th year,Mathematics,3:30 AM,10:00 AM,2,veg,3,4,often,4,night,Yes
Bhanu Magdum,20,Female,3rd year,English Literature,12:00 AM,7:00 AM,6,no_pref,5,4,never,2,night,No
Shamseer Narayan,21,Female,4th year,Mechanical Engineering,11:30 PM,5:30 AM,1,nonveg,4,5,sometimes,4,afternoon,Yes
Anuj Barnawal,18,Male,2nd year,Biology,2:00 AM,10:30 AM,7,nonveg,3,3,never,1,night,No
Akhil Malviya,18,Female,1st year,Electrical Engineering,10:30 PM,6:00 AM,3,nonveg,3,4,sometimes,3,afternoon,No
Nikhil Keshari,20,Male,3rd year,Electrical Engineering,1:00 AM,8:30 AM,4,veg,4,5,often,4,night,Yes
Pradium Saran,20,Female,3rd year,Chemistry,2:00 AM,9:30 AM,5,veg,5,1,sometimes,2,night,No
Arshad Giri,20,Female,3rd year,Business Administration,12:00 AM,9:00 AM,4,veg,4,2,never,3,afternoon,No
Neha Gautam,19,Female,2nd year,English Literature,10:30 PM,5:30 AM,7,veg,3,2,never,2,morning,No
Shalini Rana,19,Female,2nd year,Computer Science,12:00 AM,7:00 AM,4,nonveg,3,3,often,4,afternoon,Yes
Karishma Sankary,20,Male,3rd year,Chemistry,11:00 PM,5:30 AM,2,nonveg,4,3,sometimes,5,afternoon,Yes
Utsav Akhtar,20,Female,3rd year,Mathematics,11:00 PM,7:00 AM,4,nonveg,3,4,sometimes,4,morning,Yes
Divyam Sundar,21,Non-binary,4th year,Psychology,2:30 AM,12:00 PM,2,eggetarian,3,4,often,4,night,Yes
Muskaan Rathore,19,Female,2nd year,Psychology,10:30 PM,5:00 AM,2,nonveg,3,3,often,5,morning,Yes
Akshaya Panesar,19,Non-binary,2nd year,Business Administration,12:00 AM,7:30 AM,4,eggetarian,2,2,sometimes,2,morning,No
Akhil Rehman,19,Male,2nd year,Biology,12:30 AM,9:00 AM,3,nonveg,3,3,sometimes,4,night,Yes
Vanshika Kidwai,19,Female,2nd year,Psychology,2:00 AM,11:30 AM,4,nonveg,3,3,sometimes,4,night,Yes
Grover Rajesh,21,Female,4th year,Computer Science,10:00 PM,5:30 AM,4,nonveg,2,1,never,2,morning,No
Rohan Yamala,19,Female,2nd year,Mathematics,10:30 PM,6:30 AM,4,veg,3,1,sometimes,1,morning,No
Akarshita Rasheed,21,Non-binary,4th year,Mathematics,2:30 AM,10:00 AM,1,eggetarian,2,5,often,4,night,Yes
Shwetanshi Chaudhary,20,Non-binary,3rd year,Computer Science,11:30 PM,7:30 AM,6,veg,3,3,sometimes,3,afternoon,Yes
Akshat Sanwal,20,Male,3rd year,Chemistry,11:30 PM,6:00 AM,2,veg,2,5,often,4,afternoon,Yes
Deependra Trivedi,18,Female,1st year,Psychology,11:30 PM,7:30 AM,3,eggetarian,5,4,sometimes,4,afternoon,Yes
Riddhi Rajput,21,Male,4th year,Computer Science,11:30 PM,7:30 AM,4,no_pref,2,4,sometimes,3,afternoon,Yes
Satendra Gutti,18,Male,2nd year,Electrical Engineering,10:00 PM,4:30 AM,4,veg,3,2,never,2,morning,No
Shahid Indora,19,Male,2nd year,Mechanical Engineering,1:30 AM,9:30 AM,4,veg,3,3,sometimes,4,night,Yes
Shazia Keshwani,21,Female,3rd year,Mathematics,2:30 AM,9:30 AM,6,no_pref,3,2,never,1,night,No
Sayeed Nandakumar,20,Male,3rd year,Mechanical Engineering,11:30 PM,7:00 AM,4,nonveg,3,4,sometimes,3,afternoon,No
Dhruv Azmi,19,Male,2nd year,Mechanical Engineering,1:30 AM,9:30 AM,4,veg,3,3,never,4,afternoon,No
Love Ahmad,18,Male,1st year,Chemistry,1:30 AM,10:00 AM,2,veg,2,2,sometimes,3,night,Yes
Shrikant Anjum,20,Female,3rd year,English Literature,11:30 PM,6:30 AM,6,nonveg,4,3,sometimes,3,morning,Yes
Kunaal Prasad,17,Female,1st year,Mechanical Engineering,10:30 PM,6:00 AM,3,nonveg,5,4,often,4,afternoon,Yes
Apurva Suman,18,Male,1st year,Mathematics,12:30 AM,8:30 AM,4,nonveg,3,4,sometimes,3,afternoon,No
Aakriti Tejaswini,20,Male,4th year,Business Administration,10:30 PM,6:00 AM,8,veg,3,3,sometimes,1,morning,No
Tanpreet Saxena,20,Male,2nd year,Chemistry,1:30 AM,10:00 AM,2,nonveg,4,5,never,4,night,No
Ankur Pattnaik,21,Female,4th year,English Literature,3:30 AM,10:00 AM,5,veg,4,2,never,1,night,No
Srijan Chavan,19,Female,2nd year,Computer Science,1:30 AM,10:30 AM,2,eggetarian,4,2,sometimes,3,night,No
Manush Shrivastava,20,Male,3rd year,Mechanical Engineering,10:30 PM,7:00 AM,3,nonveg,3,3,often,4,morning,No
Ambuj Bhushan,21,Female,4th year,Chemistry,12:00 AM,7:00 AM,4,veg,5,4,sometimes,3,afternoon,Yes
Akshita Hasija,20,Female,3rd year,Psychology,2:30 AM,10:00 AM,4,nonveg,4,4,sometimes,4,night,Yes
Ram Asija,18,Male,2nd year,Mathematics,11:00 PM,6:30 AM,6,no_pref,4,4,sometimes,2,morning,No
Bhumika Thakur,21,Male,4th year,English Literature,11:00 PM,6:30 AM,4,veg,2,5,sometimes,3,afternoon,Yes
Shraddha Kapoor,20,Male,3rd year,Electrical Engineering,11:30 PM,7:30 AM,4,nonveg,2,2,never,2,afternoon,No
Preeti Kotturu,18,Male,1st year,Business Administration,2:30 AM,9:30 AM,7,nonveg,4,2,never,2,night,No
Kaushambi Arora,21,Female,4th year,Psychology,11:30 PM,7:00 AM,2,nonveg,3,4,sometimes,4,morning,Yes
Shrestha Guha,20,Non-binary,3rd year,Electrical Engineering,3:00 AM,10:00 AM,4,nonveg,4,5,often,4,night,No
Apurv Lockwani,21,Male,4th year,Psychology,10:30 PM,5:00 AM,6,veg,3,3,never,2,morning,No
Shalu Thawani,19,Female,2nd year,Biology,11:30 PM,6:30 AM,4,nonveg,4,4,sometimes,3,afternoon,No
Jahnavi Ataher,20,Female,2nd year,Biology,10:30 PM,6:00 AM,1,eggetarian,4,4,never,3,morning,No
Ishita Bisht,18,Female,1st year,English Literature,12:30 AM,8:00 AM,5,veg,5,3,often,3,afternoon,Yes
Karan Dadarwal,20,Male,3rd year,Mathematics,11:30 PM,6:00 AM,4,nonveg,3,2,never,2,morning,No
Kaushiki Nagoria,21,Male,3rd year,Mechanical Engineering,11:00 PM,6:30 AM,3,nonveg,3,3,sometimes,3,morning,No
Prabhu Mittal,20,Female,3rd year,Mathematics,11:00 PM,5:30 AM,5,veg,5,3,sometimes,1,morning,No
Garvit Kushwaha,18,Female,1st year,Business Administration,1:30 AM,11:00 AM,5,nonveg,3,2,never,2,night,No
Ritank Shivagauri,18,Male,1st year,Electrical Engineering,1:30 AM,9:30 AM,3,nonveg,4,5,often,4,night,Yes
Soumya Rasheed,18,Male,1st year,Electrical Engineering,12:30 AM,8:30 AM,4,veg,2,2,sometimes,2,night,No
Ashik Sarnobat,21,Non-binary,4th year,Mechanical Engineering,12:30 AM,9:00 AM,7,veg,3,3,sometimes,2,afternoon,Yes
Smitesh Kamble,21,Female,4th year,Psychology,12:30 AM,9:30 AM,2,veg,5,4,sometimes,4,night,Yes
Ravinderpreet Sarnobat,19,Female,2nd year,Psychology,11:30 PM,8:00 AM,2,nonveg,2,4,sometimes,4,morning,No
Tavish Kapoor,19,Male,2nd year,Mathematics,12:00 AM,7:30 AM,5,veg,3,4,often,5,afternoon,Yes
Vaishavi Bhatnagar,18,Male,2nd year,Mechanical Engineering,1:30 AM,8:00 AM,4,nonveg,4,2,sometimes,3,night,Yes
Aravind Inavolu,19,Female,1st year,Business Administration,12:00 AM,7:30 AM,1,veg,4,2,sometimes,2,afternoon,No
Fariya Giri,21,Male,4th year,Business Administration,2:30 AM,8:30 AM,3,nonveg,3,3,often,4,night,Yes
Suraj Prasath,21,Male,4th year,Business Administration,11:30 PM,6:30 AM,6,veg,2,3,sometimes,2,afternoon,Yes
Sravan Jay,21,Female,3rd year,Biology,4:00 AM,11:30 AM,6,nonveg,4,3,never,1,night,No
Priyamvada Baranwal,21,Female,4th year,Psychology,12:00 AM,7:30 AM,4,nonveg,4,3,sometimes,2,afternoon,No
Nainika Anand,21,Male,4th year,Business Administration,2:00 AM,9:00 AM,5,nonveg,3,3,sometimes,3,night,Yes
Aatish Sekhar,18,Female,1st year,Mathematics,11:00 PM,8:00 AM,5,veg,4,3,sometimes,3,afternoon,No
Sitaram Sarraf,22,Non-binary,4th year,Psychology,12:00 AM,8:00 AM,7,nonveg,2,1,sometimes,2,night,No
Shaurya Gangwal,20,Female,3rd year,Psychology,1:30 AM,9:30 AM,4,nonveg,3,1,never,3,night,No
Hira Dohrey,20,Female,3rd year,Psychology,2:00 AM,10:00 AM,3,nonveg,4,3,sometimes,3,night,No
Shreyas Bhadauria,20,Female,2nd year,Chemistry,1:00 AM,9:30 AM,5,nonveg,3,4,often,3,night,Yes
Vangara Trivedi,17,Female,1st year,Mathematics,10:30 PM,6:30 AM,2,nonveg,4,4,sometimes,5,afternoon,Yes
Utpal Saxena,21,Female,4th year,Computer Science,11:00 PM,6:30 AM,2,nonveg,4,3,sometimes,5,afternoon,No
Chiranjeev Nigan,19,Male,2nd year,Computer Science,11:30 PM,7:30 AM,7,nonveg,3,3,sometimes,2,morning,Yes
Snigdha Rajesh,21,Female,3rd year,Chemistry,1:00 AM,8:00 AM,8,nonveg,3,1,sometimes,2,night,No
Ashwini Mehrotra,18,Female,1st year,English Literature,11:00 PM,7:30 AM,3,nonveg,3,5,often,5,night,No
Sanjit Bano,18,Female,1st year,Biology,9:30 PM,5:30 AM,4,veg,2,1,never,1,morning,No
Eashan Anjum,20,Male,3rd year,Psychology,1:00 AM,8:30 AM,4,nonveg,2,3,never,2,night,No
Ishita Koppula,20,Female,4th year,Chemistry,10:00 PM,5:30 AM,4,nonveg,3,3,sometimes,2,morning,No
Chahat Bhatnagar,21,Female,4th year,Psychology,10:30 PM,6:30 AM,4,veg,3,2,sometimes,3,morning,Yes
Dhruva Tibrewal,21,Female,4th year,Psychology,10:30 PM,6:00 AM,5,nonveg,2,4,often,4,morning,Yes
Rajat Bais,19,Female,2nd year,Mathematics,1:00 AM,8:30 AM,2,no_pref,3,3,sometimes,3,night,Yes
Aanchal Oswal,19,Female,2nd year,Business Administration,11:30 PM,8:00 AM,5,nonveg,4,2,never,2,morning,No
Alok Katta,21,Male,3rd year,Computer Science,2:00 AM,9:30 AM,5,nonveg,4,3,never,1,night,No
Suraj Desabathula,21,Male,4th year,Business Administration,11:00 PM,7:00 AM,1,no_pref,3,3,often,4,afternoon,Yes
Apurva Dadarwal,20,Non-binary,2nd year,Chemistry,2:00 AM,8:30 AM,5,nonveg,4,2,sometimes,2,night,Yes
Krishna Shrivastava,19,Female,2nd year,Electrical Engineering,3:30 AM,10:30 AM,5,nonveg,4,2,sometimes,3,night,Yes
Eashan Chouhan,20,Female,3rd year,Computer Science,11:00 PM,7:00 AM,6,eggetarian,5,3,sometimes,2,morning,Yes
Ayushi Priyadarshi,20,Female,3rd year,Electrical Engineering,10:30 PM,7:30 AM,4,eggetarian,4,3,sometimes,3,morning,Yes
Pradeep Ranjan,19,Female,2nd year,Mathematics,2:30 AM,8:30 AM,5,veg,2,3,never,1,night,No
Parul Raman,18,Female,1st year,Electrical Engineering,1:30 AM,9:30 AM,2,veg,3,4,often,4,night,No
Tahreem Maurya,20,Female,3rd year,Business Administration,12:30 AM,8:00 AM,5,nonveg,3,4,sometimes,2,night,No
Navneet Gurnani,20,Male,3rd year,Biology,12:30 AM,7:30 AM,4,nonveg,3,2,sometimes,1,night,Yes
Sahiti Kumari,18,Male,1st year,Computer Science,11:30 PM,7:30 AM,5,veg,4,4,never,1,afternoon,No
Sahil Bhal,18,Female,1st year,Chemistry,1:30 AM,9:00 AM,3,nonveg,3,3,sometimes,3,night,No
Jamir Raza,20,Male,3rd year,Business Administration,12:30 AM,7:30 AM,6,nonveg,1,1,never,2,night,No
Anoop Kothari,21,Female,4th year,Computer Science,11:00 PM,7:30 AM,4,veg,3,1,never,2,morning,No
Noopur Gill,18,Male,1st year,Mathematics,11:00 PM,7:00 AM,4,nonveg,3,3,never,5,afternoon,Yes
Suryakant Durgavanshi,18,Female,1st year,Chemistry,10:30 PM,6:30 AM,5,veg,2,2,sometimes,2,morning,Yes
Jivani Keshri,21,Male,4th year,Mathematics,11:30 PM,6:30 AM,3,veg,5,3,never,3,afternoon,No
Urmila Dubey,21,Male,4th year,Psychology,12:00 AM,7:00 AM,4,nonveg,4,4,often,5,afternoon,Yes
Kausar Rizwan,17,Male,1st year,Electrical Engineering,12:00 AM,7:30 AM,4,veg,3,1,sometimes,1,afternoon,Yes
Mitika Quraishi,19,Male,2nd year,Electrical Engineering,12:00 AM,7:00 AM,4,nonveg,3,3,sometimes,3,afternoon,Yes
Utkarsha Bhal,19,Female,2nd year,Chemistry,1:00 AM,8:00 AM,4,nonveg,3,2,never,2,night,No
Anmol Gill,20,Male,4th year,Mechanical Engineering,2:00 AM,9:00 AM,3,no_pref,4,3,sometimes,3,night,Yes
Manush Suchi,19,Male,2nd year,Computer Science,9:30 PM,5:00 AM,7,nonveg,3,2,never,1,morning,No
Aditi Bais,20,Male,3rd year,Chemistry,11:00 PM,6:30 AM,2,nonveg,4,2,sometimes,1,morning,No
Sukirti Garud,21,Male,4th year,Chemistry,11:00 PM,6:30 AM,2,nonveg,3,3,sometimes,3,morning,No
Atishay Khokhar,18,Male,1st year,Computer Science,11:30 PM,7:30 AM,1,nonveg,3,3,often,5,afternoon,Yes
Ambika Munir,20,Male,3rd year,Mathematics,11:00 PM,6:30 AM,3,veg,4,3,sometimes,3,afternoon,Yes
Nitesh Joseph,18,Female,1st year,Biology,12:00 AM,7:30 AM,3,veg,4,5,sometimes,5,afternoon,Yes
